text,sentiment
"Saya rasa ini sudah cukup.",netral
"Pemesanan berjalan lancar.",netral
"Saya akan lihat nanti.",netral
"Tidak ada masalah, terima kasih.",netral
"Saya sudah baca ulasannya.",netral
"Cukup memuaskan.",netral
"Sudah saya coba, berfungsi normal.",netral
"Pengoperasiannya sederhana.",netral
"Desainnya fungsional.",netral
"Tidak ada yang istimewa.",netral
"Cukup lengkap.",netral
"Ini sudah sesuai.",netral
"Pengalaman saya biasa saja.",netral
"Terlihat baik-baik saja.",netral
"Saya akan perhatikan.",netral
"Produknya tidak buruk.",netral
"Saya akan coba sesekali.",netral
"Cukup bagus.",netral
"Ini adalah hal yang umum.",netral
"Tidak ada masalah berarti.",netral
"Ini adalah fakta.",netral
"Pengiriman sesuai jadwal.",netral
"Saya tidak keberatan.",netral
"Saya rasa ini normal.",netral
"Cukup layak.",netral
"Sudah saya terima.",netral
"Ini hanya informasi tambahan.",netral
"Tidak ada keluhan.",netral
"Produk ini sesuai deskripsi.",netral
"Ini hanyalah satu sudut pandang.",netral
"Saya akan meninjau kembali.",netral
"Baik, terima kasih.",netral
"Tidak ada yang menonjol.",netral
"Cukup efisien.",netral
"Sudah selesai.",netral
"Saya akan simpan ini.",netral
"Ini adalah data yang relevan.",netral
"Saya tidak punya pandangan pribadi.",netral
"Cukup informatif.",netral
"Sudah sesuai dengan kebutuhan saya.",netral
"Ini hanyalah produk.",netral
"Saya akan mempertimbangkan opsi lain.",netral
"Tidak ada kesan khusus.",netral
"Sudah berjalan dengan baik.",netral
"Saya rasa tidak ada yang salah.",netral
"Sesuai harapan.",netral
"Informasinya standar.",netral
"Layanan yang memadai.",netral
"Saya tidak akan berkomentar lebih lanjut.",netral
"Prosesnya tidak ada kendala.",netral
"Saya hanya ingin tahu.",netral
"Produknya standar.",netral
"Saya sudah tahu ini.",netral
"Ini hanya produk.",netral
"Prosesnya cukup efisien.",netral
"Saya sudah lihat.",netral
"Sudah saya cek, baik.",netral
"Tidak ada masalah.",netral
"Selesai.",netral
"Ini adalah produk yang ada.",netral
"Saya tidak keberatan.",netral
"Cukup membantu.",netral
"Layanannya sangat mengecewakan.",negatif
"Saya tidak suka produk ini.",negatif
"Kualitasnya sangat buruk.",negatif
"Waktu pengirimannya terlalu lama.",negatif
"Ini adalah pengalaman yang buruk.",negatif
"Saya sangat tidak puas.",negatif
"Produknya tidak berfungsi sama sekali.",negatif
"Penjualnya tidak ramah.",negatif
"Ini buang-buang uang.",negatif
"Saya merasa tertipu.",negatif
"Sangat mengecewakan, saya tidak merekomendasikannya.",negatif
"Jangan beli produk ini.",negatif
"Saya tidak akan kembali lagi.",negatif
"Ini tidak sesuai deskripsi.",negatif
"Sangat buruk, saya menyesal membelinya.",negatif
"Saya sangat kecewa.",negatif
"Pelayanannya sangat lambat.",negatif
"Produk ini cacat.",negatif
"Saya menemukan banyak masalah.",negatif
"Tidak ada solusi yang diberikan.",negatif
"Saya sangat marah.",negatif
"Ini tidak sepadan dengan harganya.",negatif
"Saya tidak percaya ini bisa terjadi.",negatif
"Sangat jelek.",negatif
"Ini adalah pengalaman terburuk saya.",negatif
"Saya tidak puas sama sekali.",negatif
"Ini sangat mengganggu.",negatif
"Saya tidak akan pernah menggunakan layanan ini lagi.",negatif
"Kualitasnya di bawah standar.",negatif
"Ini adalah produk yang gagal.",negatif
"Saya ingin uang saya kembali.",negatif
"Ini adalah penipuan.",negatif
"Terlalu banyak masalah.",negatif
"Pengiriman produk ini sangat lambat.",negatif
"Sangat tidak profesional.",negatif
"Ini membuat saya kesal.",negatif
"Saya sangat frustrasi.",negatif
"Ini adalah produk yang buruk.",negatif
"Tidak ada yang berhasil.",negatif
"Saya merasa dibohongi.",negatif
"Sangat tidak layak.",negatif
"Ini adalah pemborosan waktu.",negatif
"Jauh dari ekspektasi saya.",negatif
"Saya benar-benar kecewa.",negatif
"Ini adalah produk yang tidak berguna.",negatif
"Saya akan mengeluh.",negatif
"Ini adalah kekacauan.",negatif
"Ini membuat saya sakit kepala.",negatif
"Saya tidak bisa mempercayai ini.",negatif
"Sangat tidak membantu.",negatif
"Ini adalah produk yang sangat buruk.",negatif
"Saya sangat kesal.",negatif
"Ini sangat menyebalkan.",negatif
"Saya sangat tidak merekomendasikannya.",negatif
"Pelayanannya tidak memuaskan.",negatif
"Saya menyesal telah membeli ini.",negatif
"Saya tidak akan pernah lagi.",negatif
"Ini adalah produk yang mengecewakan.",negatif
"Tidak sepadan dengan uang yang dikeluarkan.",negatif
"Sangat tidak efisien.",negatif
"Ini adalah produk yang tidak aman.",negatif
"Ini adalah bencana.",negatif
"Ini adalah produk yang tidak berharga.",negatif
"Saya ingin kompensasi.",negatif
"Ini benar-benar tidak baik.",negatif
"Ini adalah produk yang salah.",negatif
"Saya benci ini.",negatif
"Ini adalah produk yang sangat jelek.",negatif
"Sangat mengejutkan betapa buruknya ini.",negatif
"Saya tidak puas dengan layanan ini.",negatif
"Ini adalah produk yang tidak berguna.",negatif
"Saya ingin membuang ini.",negatif
"Ini adalah pemborosan.",negatif
"Sangat tidak menyenangkan.",negatif
"Ini adalah produk yang salah.",negatif
"Saya merasa tidak dihargai.",negatif
"Ini sangat membuat frustrasi.",negatif
"Saya tidak bisa memperbaikinya.",negatif
"Ini adalah produk yang rusak.",negatif
"Saya tidak puas dengan hasilnya.",negatif
"Ini sangat buruk.",negatif
"Saya tidak akan pernah membelinya lagi.",negatif
"Ini adalah produk yang tidak memenuhi janji.",negatif
"Sangat menyebalkan.",negatif
"Ini adalah layanan yang sangat buruk.",negatif
"Saya ingin uang saya kembali.",negatif
"Ini adalah kesalahan besar.",negatif
"Ini adalah produk yang tidak sesuai.",negatif
"Saya tidak bisa menggunakan ini.",negatif
"Ini adalah produk yang tidak layak.",negatif
"Saya sangat jengkel.",negatif
"Ini adalah produk yang gagal total.",negatif
"Saya tidak akan merekomendasikan ini kepada siapapun.",negatif
"Ini adalah produk yang sangat buruk.",negatif
"Saya sangat tidak suka ini.",negatif
"Ini adalah produk yang tidak berguna.",negatif
"Sangat tidak bisa diterima.",negatif
"Ini adalah produk yang sangat buruk.",negatif
"Saya tidak akan merekomendasikannya.",negatif
"Ini adalah produk yang membuat saya marah.",negatif
